,SC,GPDM,SSDATE,GPLB
659,0,002194,20071207,深市中小板A股
660,0,002195,20071212,深市中小板A股
661,0,002196,20071212,深市中小板A股
662,0,002197,20071218,深市中小板A股
663,0,002198,20071218,深市中小板A股
664,0,002199,20071221,深市中小板A股
665,0,002200,20071221,深市中小板A股
666,0,002201,20071226,深市中小板A股
667,0,002202,20071226,深市中小板A股
668,0,002203,20080116,深市中小板A股
669,0,002204,20080116,深市中小板A股
670,0,002205,20080123,深市中小板A股
671,0,002206,20080123,深市中小板A股
672,0,002207,20080128,深市中小板A股
673,0,002208,20080128,深市中小板A股
674,0,002209,20080130,深市中小板A股
675,0,002210,20080130,深市中小板A股
676,0,002211,20080201,深市中小板A股
677,0,002212,20080201,深市中小板A股
678,0,002213,20080201,深市中小板A股
679,0,002214,20080218,深市中小板A股
680,0,002215,20080218,深市中小板A股
681,0,002216,20080220,深市中小板A股
682,0,002217,20080220,深市中小板A股
683,0,002218,20080228,深市中小板A股
684,0,002219,20080306,深市中小板A股
685,0,002220,20080228,深市中小板A股
686,0,002221,20080306,深市中小板A股
687,0,002222,20080319,深市中小板A股
688,0,002223,20080418,深市中小板A股
689,0,002224,20080425,深市中小板A股
690,0,002225,20080425,深市中小板A股
691,0,002226,20080506,深市中小板A股
692,0,002227,20080506,深市中小板A股
693,0,002228,20080508,深市中小板A股
694,0,002229,20080508,深市中小板A股
695,0,002230,20080512,深市中小板A股
696,0,002231,20080512,深市中小板A股
697,0,002232,20080509,深市中小板A股
698,0,002233,20080516,深市中小板A股
699,0,002234,20080516,深市中小板A股
700,0,002235,20080516,深市中小板A股
701,0,002236,20080520,深市中小板A股
702,0,002237,20080520,深市中小板A股
703,0,002238,20080526,深市中小板A股
704,0,002239,20080522,深市中小板A股
705,0,002240,20080523,深市中小板A股
706,0,002241,20080522,深市中小板A股
707,0,002242,20080528,深市中小板A股
708,0,002243,20080528,深市中小板A股
709,0,002244,20080529,深市中小板A股
710,0,002245,20080605,深市中小板A股
711,0,002246,20080605,深市中小板A股
712,0,002247,20080612,深市中小板A股
713,0,002248,20080612,深市中小板A股
714,0,002249,20080619,深市中小板A股
715,0,002250,20080619,深市中小板A股
716,0,002251,20080619,深市中小板A股
717,0,002252,20080623,深市中小板A股
718,0,002253,20080623,深市中小板A股
719,0,002254,20080625,深市中小板A股
720,0,002255,20080625,深市中小板A股
721,0,002256,20080625,深市中小板A股
722,0,002258,20080708,深市中小板A股
723,0,002259,20080716,深市中小板A股
724,0,002260,20080716,深市中小板A股
725,0,002261,20080723,深市中小板A股
726,0,002262,20080723,深市中小板A股
727,0,002263,20080728,深市中小板A股
728,0,002264,20080731,深市中小板A股
729,0,002265,20080806,深市中小板A股
730,0,002266,20080806,深市中小板A股
731,0,002267,20080813,深市中小板A股
732,0,002268,20080811,深市中小板A股
733,0,002269,20080828,深市中小板A股
734,0,002270,20080905,深市中小板A股
